NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-90	嘴，口	mouth	596	674	MOUTH		84	mouth (opening) (note:mouth  |  opening)	嘴	mouth	人体部位								
Chen-2013-888-91	胡须	beard/ moustache/ goatee	597	678	BEARD		87	beard	胡子	beard/ moustache/ goatee	人体部位								
Chen-2013-888-92	下巴	chin	597	1510	CHIN		88	chin	下巴	chin	人体部位	Huang-1992-1820-88	chin	下巴	1510	CHIN	n		
Chen-2013-888-93	脖子	neck	597	1333	NECK		89	neck	脖子	neck	人体部位	Huang-1992-1820-89	neck (back of/ hindneck/ nape) (note:+front)	脖子 (颈部)	1333	NECK	n	neck n	脖子
Chen-2013-888-94	肩膀	shoulder	598	1482	SHOULDER		90	shoulder	肩膀	shoulder	人体部位	Huang-1992-1820-90	shoulder	肩膀	1482	SHOULDER	n		
Chen-2013-888-95	背	back (body)	598	1291	BACK		91	back	背	back	人体部位	Huang-1992-1820-91	back	背	1291	BACK	n		
Chen-2013-888-96	胸脯	chest	598	1592	CHEST		93	chest	胸	chest	人体部位								
Chen-2013-888-97	肚子	belly	599	1251	BELLY		96	belly	肚子（腹部）	belly	人体部位								
Chen-2013-888-98	肚脐	navel	599	1838	NAVEL		97	navel	肚脐	navel	人体部位	Huang-1992-1820-97	navel	肚脐	1838	NAVEL	n		
Chen-2013-888-99	腰	waist	599	1681	WAIST		98	waist	腰	waist	人体部位	Huang-1992-1820-98	waist	腰	1681	WAIST	n		
Chen-2013-888-100	屁股	buttocks	600	834	BUTTOCKS		99	buttocks	屁股	buttocks	人体部位	Huang-1992-1820-99	buttocks	屁股	834	BUTTOCKS	n		
Chen-2013-888-101	肛门	anaus	600	1935	ANUS		115	anus	肛门	anaus	人体部位	Huang-1992-1820-115	anus	肛门	1935	ANUS	n		
Chen-2013-888-102	腿	leg	600	1297	LEG		0				人体部位								
Chen-2013-888-103	脚	foot	601	1301	FOOT		103	foot	脚	foot	人体部位	Huang-1992-1820-103	foot	脚	1301	FOOT	n		
Chen-2013-888-104	手	hand	601	1277	HAND		107	hand	手	hand	人体部位	Huang-1992-1820-107	hand	手	1277	HAND	n	hand	手
Chen-2013-888-105	手指	finger	601	1303	FINGER		109	finger	手指	finger	人体部位	Huang-1992-1820-109	finger	手指	1303	FINGER	n		
Chen-2013-888-106	指甲	nail	602	1258	FINGERNAIL		113	nail	指甲	nail	人体部位	Huang-1992-1820-113	nail	指甲	2128	CLAW OR NAIL	n		
Chen-2013-888-107	拳	fist	602	1473	FIST		114	fist	拳	fist	人体部位	Huang-1992-1820-114	fist (solid) (note:-hollow)	拳 ((实心的)~)	1473	FIST	n		
Chen-2013-888-108	皮肤	skin	602	763	SKIN		120	skin	皮肤	skin	人体部位	Huang-1992-1820-120	skin	皮肤	763	SKIN	n		
Chen-2013-888-109	筋	tendon	603	1137	TENDON		130	tendon/ sinew	筋	tendon/ sinew	人体部位	Huang-1992-1820-130	tendon / sinew	筋	1137	TENDON	n		
Chen-2013-888-110	脑髓	brains	603	1583	BRAIN		132	brains	脑髓	brains	人体部位	Huang-1992-1820-132	brains	脑髓	1583	BRAIN	n		
Chen-2013-888-111	骨头	bone	603	1394	BONE		133	bone	骨头	bone	人体部位	Huang-1992-1820-133	bone	骨头	1394	BONE	n		
Chen-2013-888-112	牙齿	tooth	604	1380	TOOTH		137	tooth	牙齿	tooth	人体部位	Huang-1992-1820-137	tooth	牙齿	1380	TOOTH	n		
Chen-2013-888-113	舌	tongue	604	1205	TONGUE		139	tongue	舌头	tongue	人体部位								
Chen-2013-888-114	喉咙	throat	604	1346	THROAT		141	throat	喉咙	throat	人体部位	Huang-1992-1820-141	throat	喉咙	1346	THROAT	n		
Chen-2013-888-115	肺	lung	605	688	LUNG		143	lung	肺	lung	人体部位	Huang-1992-1820-143	lung	肺	688	LUNG	n		
Chen-2013-888-116	心脏	heart	605	1223	HEART		144	heart	心脏	heart	人体部位	Huang-1992-1820-144	heart	心脏	1223	HEART	n		
Chen-2013-888-117	肝	liver	605	1224	LIVER		145	liver	肝	liver	人体部位	Huang-1992-1820-145	liver	肝	1224	LIVER	n		
Chen-2013-888-118	胃	stomach	606	819	STOMACH		148	stomach	胃	stomach	人体部位	Huang-1992-1820-148	stomach (cow/ goat) (note:+livestock {lit. cow/ sheep})	胃 ((牛/羊)~)	819	STOMACH	n		
Chen-2013-888-119	胆	gall bladder	606		*GALL BLADDER		147	gall bladder	胆	gall bladder	人体部位	Huang-1992-1820-147	gall bladder	胆		*GALLBLADDER	n		
Chen-2013-888-120	血	blood	606	946	BLOOD		129	blood	血	blood	人体部位	Huang-1992-1820-129	blood	血	946	BLOOD	n		
Chen-2013-888-121	奶汁	milk	607	635	MILK		95	milk	奶汁	milk	人体部位	Huang-1992-1820-95	milk	奶汁	635	MILK	n		
Chen-2013-888-122	屎	excrement	607	675	FAECES (EXCREMENT)		151	excrement	屎	excrement	人体部位	Huang-1992-1820-151	excrement	屎	675	FAECES (EXCREMENT)	n		
Chen-2013-888-123	肠子	intestine	607	1991	INTESTINES		149	intestine	肠子	intestine	人体部位	Huang-1992-1820-149	intestine	肠子	1991	INTESTINES	n		
Chen-2013-888-124	尿	urine	608	1142	URINE		152	urine	尿	urine	人体部位	Huang-1992-1820-152	urine	尿	1142	URINE	n		
Chen-2013-888-125	汗	sweat	608	2458	PERSPIRE OR SWEAT		154	sweat	汗	sweat	人体部位	Huang-1992-1820-154	sweat	汗	125	SWEAT (SUBSTANCE)	n		
Chen-2013-888-126	口水	saliva	608	1503	SALIVA		156	saliva	口水	saliva	人体部位	Huang-1992-1820-156	saliva	口水	1503	SALIVA	n		
Chen-2013-888-127	鼻涕	nasal mucus	609	208	NASAL MUCUS (SNOT)		157	nasal mucus	鼻涕	nasal mucus	人体部位	Huang-1992-1820-157	mucus (nasal)	鼻涕	208	NASAL MUCUS (SNOT)	n		
Chen-2013-888-128	眼泪	tears	609	1651	TEAR (OF EYE)		158	tears	眼泪	tears	人体部位	Huang-1992-1820-158	tears	眼泪	1651	TEAR (OF EYE)	n		
Chen-2013-888-129	脓	pus	609	1808	PUS		159	pus	脓	pus	人体部位	Huang-1992-1820-159	pus	脓	1808	PUS	n		
Chen-2013-888-130	牛	cattle	610	1153	CATTLE		254	cattle	牛	cattle	动物	Huang-1992-1820-254	cattle	牛	1153	CATTLE	n		
Chen-2013-888-131	水牛	buffalo	610	2516	WATER BUFFALO		256	buffalo	水牛	buffalo	动物	Huang-1992-1820-256	buffalo	水牛	934	BUFFALO	n		
Chen-2013-888-132	黄牛	huangniu (a type of cattle)	610				255	huangniu (a type of cattle)	黄牛	huangniu (a type of cattle)	动物	Huang-1992-1820-255	cattle (common) (note:+female)	黄牛 (母~)	1007	COW	n		
Chen-2013-888-133	母牛	cow	611	1007	COW		261	cow	母牛	cow	动物	Huang-1992-1820-261	cow	母牛	1007	COW	n		
Chen-2013-888-134	公牛	bull	611	1008	BULL		260	bull	公牛	bull	动物	Huang-1992-1820-260	bull	公牛	1008	BULL	n		
Chen-2013-888-135	牛犊	calf	611	1989	CALF		259	calf	牛犊	calf	动物	Huang-1992-1820-259	calf (bull-yak crossbreed) (note:+bull-yak)	牛犊 (犏~)	1989	CALF	n		
Chen-2013-888-136	（牛）角	horn (of cow)	612	1393	HORN (ANATOMY)		263	horn	犄角	horn	动物								
Chen-2013-888-137	蹄	hoof	612	152	HOOF		264	hoof	蹄	hoof	动物	Huang-1992-1820-264	hoof (odd number) (note:+odd_toed)	蹄 (奇数~)	152	HOOF	n	hoof (even number) n||hoof (note:+even_toed) n	蹄||蹄 (偶数~)
Chen-2013-888-138	皮	skin (of animal)	612	2614	SKIN (ANIMAL)		265	skin	皮	skin	动物	Huang-1992-1820-265	skin (leather/ hide) (note:+furry{i.e. not leather})	皮 ((带毛的)~)	2614	SKIN (ANIMAL)	n		
Chen-2013-888-139	毛	feather or fur (of animal)	613	2381	FEATHER OR FUR OR HAIR		266	down/ hair	毛	down/ hair	动物	Huang-1992-1820-266	hair / down (of yak) (note:+yak)	毛 ((牦牛)~)	189	HAIR (BODY)	n	hair / down n	毛
Chen-2013-888-140	尾巴	tail	613	1220	TAIL		267	tail	尾巴	tail	动物	Huang-1992-1820-267	tail	尾巴	1220	TAIL	n	tail n	尾巴
Chen-2013-888-141	马	horse	613	615	HORSE		268	horse	马	horse	动物	Huang-1992-1820-268		马	615	HORSE	n		
Chen-2013-888-142	羊	sheep (general)	614	2684	CAPRINE (GOAT OR SHEEP)		274	sheep (general)	羊	sheep (general)	动物	Huang-1992-1820-274	sheep (general)	羊	1331	SHEEP	n		
Chen-2013-888-143	猪	pig	614	1337	PIG		284	pig	猪	pig	动物	Huang-1992-1820-284	pig	猪	1337	PIG	n		
Chen-2013-888-144	狗	dog	614	2009	DOG		289	dog	狗	dog	动物	Huang-1992-1820-289	dog	狗	2009	DOG	n		
Chen-2013-888-145	猫	cat	615	1208	CAT		291	cat	猫	cat	动物	Huang-1992-1820-291	cat	猫	1208	CAT	n		
Chen-2013-888-146	兔子	rabbit	615	2345	LEPORID (RABBIT OR HARE)		292	rabbit	兔子	rabbit	动物	Huang-1992-1820-292	rabbit	兔子	1136	RABBIT	n		
Chen-2013-888-147	鸡	chicken	615	1318	CHICKEN		293	chicken	鸡	chicken	动物	Huang-1992-1820-293	chicken	鸡	1318	CHICKEN	n		
Chen-2013-888-148	公鸡	cock	616	1511	ROOSTER		294	cock	公鸡	cock	动物	Huang-1992-1820-294	cock	公鸡	1511	ROOSTER	n		
Chen-2013-888-149	母鸡	hen	616	1514	HEN		295	hen	母鸡	hen	动物	Huang-1992-1820-295	hen	母鸡	1514	HEN	n		
Chen-2013-888-150	鸡冠	comb of cock	616				297	cockscomb	鸡冠	cockscomb	动物	Huang-1992-1820-297	cockscomb	鸡冠		*COCKSCOMB	n		
Chen-2013-888-151	爪子	claw (talon)	617	72	CLAW		307	claw/ talon	爪子	claw/ talon	动物	Huang-1992-1820-307	claw / talon	爪子	72	CLAW	n		
Chen-2013-888-152	翅膀	wing	617	1257	WING		298	wing	翅膀	wing	动物	Huang-1992-1820-298	wing	翅膀	1257	WING	n		
Chen-2013-888-153	鸭子	duck	617	1360	DUCK		300	duck	鸭子	duck	动物	Huang-1992-1820-300	duck (domestic) (note:+domestic)	鸭子 (家鸭)	1360	DUCK	n		
Chen-2013-888-154	鹅	goose	618	1187	GOOSE		301	goose	鹅	goose	动物	Huang-1992-1820-301	goose	鹅	1187	GOOSE	n		
Chen-2013-888-155	鸽子	dove	618	1853	DOVE		302	dove	鸽子	dove	动物	Huang-1992-1820-302	dove	鸽子	1853	DOVE	n		
Chen-2013-888-156	老虎	tiger	618	846	TIGER		304	tiger	老虎	tiger	动物	Huang-1992-1820-304	tiger	老虎	846	TIGER	n		
